Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
466,27876,27945,3.65,3.4575,728,472
467,27975,28105,3.717142857,3.451428571,758,434
468,28191,28461,3.774285714,3.451428571,999,429
469,28531,28622,3.732,3.444,842,436
470,28772,29027,3.712307692,3.456153846,854,438
471,29072,29888,3.700769231,3.48902439,859,516
472,29972,30346,3.693684211,3.444210526,950,411
473,30989,31546,3.963333333,3.699642857,996,501
474,31588,32025,3.77125,3.565454545,884,538
475,32069,32219,3.784,3.51875,893,525
476,32469,32582,3.736666667,3.3525,978,614
477,32808,32940,3.795,3.464285714,969,627
478,33111,33281,3.54875,3.3,963,678
479,33309,33485,3.855,3.26,1009,627
480,33692,33782,3.56,3.456,744,503
481,33911,34183,3.837692308,3.44,1073,671
482,34212,34382,3.68,3.374444444,1051,640
483,34411,34801,3.632777778,3.352,1031,655
484,34831,35799,3.946666667,3.344285714,1009,621
485,36087,36261,3.82125,3.515555556,993,593
486,36368,36438,3.69,3.5875,852,231
487,36509,37564,3.744716981,3.605283019,637,247
488,37827,38400,4.103448276,3.911724138,689,261
489,38527,38638,3.58,3.573333333,1179,683
490,38688,38763,3.7975,3.5825,1064,716
491,38888,38958,NA,3.5175,1212,702
492,39226,39779,3.7575,3.502307692,1070,629
493,39844,39942,3.758,3.52,864,591
494,39964,40218,3.646666667,3.483076923,837,553
495,40247,40378,3.65,3.41,874,605
496,40443,41080,3.906875,3.4546875,1105,505
497,41331,41441,3.848333333,3.573333333,1181,421
498,41471,41561,3.986,3.646,1138,390
499,41708,41779,NA,3.6325,1243,475
500,41848,42634,3.9,3.61925,1144,417
501,42944,43056,NA,3.793333333,771,474
502,43224,43317,3.8825,3.604,820,469
503,43485,43676,3.95,3.572,1026,605
504,43706,43917,4.646363636,3.549090909,1018,597
505,44087,44217,3.994285714,3.792857143,684,406
506,44248,44478,4.115833333,3.935833333,639,435
507,44843,44940,4.682,4.15,847,561
508,44983,45339,4.597777778,4.234444444,869,525
509,45382,45593,NA,4.185454545,773,522
510,45801,46099,4.36625,4.223333333,836,520
511,46741,46811,4.6125,4.32,938,634
512,46941,47053,4.581666667,4.225,821,506
513,47081,47355,4.07,3.889285714,827,487
514,47424,47496,3.4925,3.4325,782,610
515,47724,47978,3.638461538,3.502307692,1028,588
516,48200,48277,3.8275,3.7125,464,429
517,48765,48914,4.175,3.89125,1032,645
518,48964,49033,4.195,3.96,982,589
519,49182,49432,3.99,3.800769231,902,569
520,49499,50057,4.256153846,3.963478261,1036,627
521,50279,50349,4.75,4.3175,880,599
522,50399,50552,4.62,4.40375,838,605
523,50580,51134,4.340769231,4.139285714,827,632
524,51480,51933,NA,4.124347826,957,648
525,52122,52192,NA,4.01,961,664
526,52339,52513,NA,3.854444444,969,667
527,52759,52849,4.012,3.71,846,605
528,52918,53192,4.082142857,3.872142857,841,568
529,53218,53289,4.02,NA,831,553
530,53318,53494,3.975555556,3.777777778,871,573
531,53639,54272,4.261875,3.988125,841,578
532,54463,54993,4.400740741,4.112962963,821,602
533,55219,55293,4.42,4.045,820,608
534,55339,55571,4.292727273,3.99,836,546
535,55719,56145,4.193636364,3.853636364,1064,531
536,56195,56286,4.306,3.93,1138,555
537,56574,57107,4.17962963,3.985185185,814,596
538,57299,57570,4.391428571,4.071428571,912,548
539,57677,57911,4.57,4.255833333,819,569
540,57999,58071,4.49,4.035,1109,578
541,58096,58270,4.47,4.016666667,1082,577
542,58319,58431,4.468333333,4.115,978,564
543,58496,58707,4.701818182,4.280909091,967,444
544,58796,59268,4.474166667,4.20625,911,467
545,59435,59585,4.815,4.3425,889,425
546,59615,59866,4.959230769,4.466153846,893,395
547,60177,60368,4.454,4.182,882,552
548,60677,60748,4.675,4.13,924,440
549,60878,61303,4.7555,4.313636364,946,431
550,61451,61570,5.025,4.391666667,1036,409
551,61813,62468,4.74030303,4.396060606,921,400
552,62617,62768,4.59625,4.28875,930,355
553,62793,62950,4.625,4.375,946,332
554,63270,63407,4.631428571,4.301428571,1003,529
555,63432,63530,4.672,4.274,1003,577
556,63551,63725,4.317777778,4.09,959,553
557,63891,64364,3.89,3.679583333,1000,545
558,64449,64666,3.970909091,3.861818182,786,502
559,64730,65148,3.887619048,3.685238095,1002,531
560,65217,65445,4.070833333,3.873333333,776,531
561,65493,65987,4.0728,3.8292,766,485
562,66074,66606,4.23,3.86,1061,531
563,66756,66928,4.263333333,4.065555556,736,420
564,67029,67099,4.425,4.09,797,453
565,67169,67507,4.364705882,4.118235294,837,586
566,67591,67725,4.437142857,4.127142857,821,417
567,67774,68079,4.45125,4.180625,864,402
568,68128,68326,4.312,4.051,765,454
569,68394,68666,4.323571429,3.997857143,918,644
570,69133,69226,4.828,4.334,914,603
571,69427,69644,4.683636364,4.31,830,637
572,69849,69939,4.544,4.378,870,437
573,69968,70080,4.585,4.246666667,860,396
574,70210,70344,4.297142857,4.075714286,832,423
575,70409,70581,4.277777778,4.021111111,931,405
576,70611,70805,4.219,3.959,954,410
577,70847,71041,4.256,3.954,835,423
578,71070,71379,4.359375,4.02625,793,417
579,71408,71583,4.263333333,3.94,825,423
580,71709,71825,4.283333333,3.863333333,1077,567
581,71868,72179,4.23,3.943125,996,571
582,72228,72379,4.18625,3.9875,927,577
583,72628,72779,4.307142857,3.99,978,543
584,73025,73241,4.232727273,4.169,858,536
585,73326,73603,4.61,4.233076923,890,571
586,73750,73959,4.657272727,4.377272727,1010,592
587,74048,74158,4.556666667,4.375,929,384
588,74207,74317,4.416666667,4.273333333,835,342
589,74386,74497,4.248333333,4.063333333,868,484
590,74525,74883,4.21,4.015555556,910,489
591,75144,75415,4.360714286,4.102142857,849,345
592,75586,76003,4.641904762,4.234285714,727,323
593,76144,76479,4.635294118,4.426470588,1052,276
594,76566,76698,4.551428571,4.197142857,933,562
595,76748,76997,4.543076923,4.222307692,978,541
596,77067,77359,4.626,4.338,820,535
597,77423,77554,4.715714286,4.305714286,954,567
598,77644,77974,4.704705882,4.501764706,946,320
599,78043,78320,4.457142857,4.196428571,883,409
600,78582,78778,4.64,4.309,916,311
601,78804,79116,4.805625,4.365625,899,271
602,79246,79778,4.855555556,4.398518519,884,302
603,79889,80039,4.9475,4.4075,893,220
604,80066,80179,5.086666667,4.478333333,905,169
605,80306,80378,4.9225,4.5675,900,253
606,80588,80916,4.814117647,4.524705882,818,377
607,80945,81035,4.942,4.54,832,341
608,81105,81214,4.74,4.451666667,876,559
609,81244,81353,4.913333333,4.456666667,887,531
610,81403,81515,4.81,4.391666667,923,628
611,81681,81751,4.7275,4.3475,1016,500
612,82460,82639,4.415555556,4.22,683,564
613,82701,82877,4.433333333,4.212222222,851,433
614,82942,83116,4.686666667,4.317777778,806,546
615,83203,83455,4.73,4.399230769,907,409
616,83623,83715,4.95,4.498,993,432
617,84204,84334,5.054285714,4.604285714,885,522
618,84482,84552,4.8225,4.4425,947,582
619,84762,84833,5.1525,4.325,1093,510
620,84941,85171,5.123333333,4.571666667,1147,583
621,85241,85411,5.172222222,4.714444444,1121,482
622,85461,85714,5.3425,4.819230769,1121,393
623,85779,85855,5.6425,4.8475,1180,373
624,85939,86213,5.36,4.915714286,1082,389
625,86337,86453,5.255,4.768333333,1036,489
626,87239,87315,5.4575,4.56,855,667
627,87337,87613,5.396428571,4.648571429,864,650
628,87737,88113,4.994444444,4.597368421,756,693
629,88163,88294,4.724285714,4.435714286,851,671
630,88358,88490,4.695714286,4.422857143,724,672
631,88877,89392,4.768846154,4.381153846,870,550
632,89435,91134,4.406941176,4.139294118,842,568
633,91258,91348,4.806,4.218,842,528
634,91455,91607,4.8075,4.2425,834,497
635,91637,91927,4.525333333,4.212,812,514
636,91957,92046,4.492,4.132,830,504
637,92276,92625,4.604444444,4.330555556,679,386
638,92714,92865,4.44625,4.0925,869,419
639,92935,93331,4.327222222,4.0105,981,414
640,93456,93593,4.407142857,4.01,834,418
641,93835,93908,4.65,4.1875,919,317
642,93994,94125,4.515714286,4.177142857,857,616
643,94295,94625,4.364117647,4.096470588,805,498
644,94735,95011,4.627857143,4.235,1065,446
645,95277,95487,4.618181818,4.317272727,915,123
646,95595,95847,4.476153846,4.286153846,730,226
647,95995,96126,4.765714286,4.424285714,1072,145
648,96155,96410,4.635384615,4.380769231,1022,172
649,96432,96630,4.533,4.296,999,208
650,96713,97081,4.632631579,4.333684211,975,460
651,97151,97310,4.7175,4.36625,770,462
652,97630,98010,4.655789474,4.308947368,942,492
653,98074,98170,4.488,4.158,854,481
654,98215,98410,4.402,4.089,807,554
655,98550,99604,4.448867925,4.100384615,928,431
656,99651,99722,4.61,4.215,973,347
657,99850,100067,4.810909091,4.253,832,577
658,100273,100348,4.91,4.2725,990,559
659,100435,100707,4.732142857,4.474285714,1052,294
660,100970,101167,4.983,4.409,1201,492
661,101530,101722,4.888,4.497,1017,497
662,101808,102066,5.000833333,4.567692308,940,471
663,102216,102564,5.012222222,4.609444444,1006,425
664,102633,102947,5.043125,4.64375,1127,535
665,103008,103181,5.221111111,4.698888889,1132,560
666,103669,104301,4.6328125,4.314375,891,703
667,104467,104566,4.638,4.402,884,611
668,104593,104905,4.835,4.499375,889,620
669,104950,105505,4.49,4.2475,883,525
670,105673,105921,4.396923077,4.109230769,858,528
671,105986,106116,4.871428571,4.282857143,846,619
672,106146,106277,4.517142857,4.257142857,834,657
673,106466,107337,4.282727273,4.046363636,874,541
674,107446,107696,4.404615385,4.038461538,831,424
675,108005,108875,4.125909091,3.786818182,867,439
676,108925,109016,4.054,3.81,801,325
677,109066,109499,4.153636364,3.804545455,756,348
678,109845,109975,4.257142857,3.892857143,1038,339
679,110065,110182,4.3,3.901666667,1044,577
680,110203,110301,4.35,3.962,1030,593
681,110627,110863,4.451666667,4.115,855,479
682,110930,111395,4.548333333,4.186666667,986,434
683,111605,111755,4.59125,4.4575,914,129
684,111825,112054,4.653333333,4.366666667,801,178
685,112164,112742,4.675517241,4.432758621,724,275
686,112990,113061,4.8675,4.4025,896,439
687,113207,113316,5.015,4.461666667,985,415
688,113502,114980,4.812297297,4.427297297,1019,532
689,115288,115399,5.02,4.388,1049,705
690,115503,115720,4.869090909,4.527272727,983,454
691,115900,116098,4.801,4.262,1033,548
692,116181,116251,NA,4.39,1132,547
693,116461,116531,4.8125,4.35,1028,470
694,116641,116812,4.726666667,4.344444444,1086,423
695,116920,117050,4.844285714,4.355714286,1176,294
696,117100,117418,4.843125,4.400625,1115,326
697,117439,117515,5.1325,4.55,1116,286
698,117539,117677,5.148571429,4.57,1122,335
699,118179,118476,4.765333333,4.384,990,624
700,118599,118789,4.417,4.099,1002,603
701,118938,119113,4.531111111,4.236666667,856,592
702,119158,119351,4.594,4.256,926,571
703,119679,119752,4.7,4.315,1186,618
704,120140,120209,4.4225,4.195,972,492
705,120279,120534,4.453846154,4.147692308,1055,543
706,120698,121010,4.456875,4.026,1051,608
707,121198,121356,4.4675,4.1125,759,495
708,121397,121537,4.581428571,4.104285714,731,633
709,121583,121656,4.34,4.13,762,608
710,121745,121835,4.42,4.096,970,552
711,121917,122094,4.595555556,4.143333333,1056,572
712,122144,122273,4.545714286,4.28,935,528
713,122403,122673,4.768571429,4.4,1231,635
714,122922,123012,4.764,4.376,883,523
715,123102,123313,4.719090909,4.366363636,1104,646
716,123420,123574,4.59375,4.33875,752,429
717,123616,123909,4.562,4.206,721,697
718,123977,124127,4.4175,4.185,832,596
719,124379,124529,4.5825,4.19,992,673
720,124719,124914,4.87,4.287,727,643
721,125017,125414,4.565,4.3145,837,278
722,125476,125832,4.507777778,4.295,734,324
723,125940,126011,4.69,4.3575,868,609
724,126081,126352,4.689285714,4.357857143,1036,559
725,126678,126851,4.86375,4.563333333,741,611
726,127057,127150,5.236,4.618,735,530
727,127274,127932,4.662424242,4.386060606,692,328
728,128015,128105,4.632,4.276,989,483
729,128135,128405,4.688571429,4.280714286,1017,508
730,128794,128888,4.68,4.456,927,250
731,128914,129392,4.495416667,4.320833333,893,307
732,129452,129590,4.522857143,4.265714286,1084,295
733,129615,129691,NA,4.2975,1189,319
734,129756,129952,4.636,4.392,1047,312
735,130158,130788,4.7803125,4.501875,870,312
736,130874,131149,4.982857143,4.492857143,850,588
737,131572,131682,5.31,4.558333333,790,498
738,131712,131789,5.1375,4.54,813,519
739,131991,132103,4.803333333,4.256666667,1113,528
740,132211,132667,4.810434783,4.325909091,919,496
741,132697,132830,4.968571429,4.468571429,946,578
742,132851,132927,4.9775,4.5525,952,621
743,132956,133127,5.014444444,4.574444444,971,606
744,133317,133470,5.0575,4.64,954,531
745,133492,133609,5.108333333,4.713333333,939,580
746,133870,135562,5.057380952,4.660235294,927,569
747,135931,136043,5.105,4.721666667,921,606
748,136389,136545,5.02375,4.48875,1056,602
749,136834,136926,4.706,4.294,823,701
750,137169,137661,4.7436,4.2316,940,700
751,137709,137823,4.785,4.275,961,537
752,137889,138158,4.610714286,4.285714286,893,439
753,138351,138465,4.545,4.133333333,1146,627
754,138492,138564,4.5275,4.165,1119,635
755,138752,138841,4.588,4.28,799,554
756,138870,139187,4.449375,4.155625,783,503
757,139349,139439,4.456,3.802,1224,521
758,139489,139559,4.4625,4.0225,1162,514
759,139770,140000,4.586363636,4.3,1016,627
760,140249,140324,4.8,4.435,787,433
761,140346,140622,4.707142857,4.465714286,794,404
762,140713,140803,4.622,4.314,689,403
763,140887,141105,4.592727273,4.219090909,821,597
764,141147,141299,4.61625,4.2125,900,583
765,141367,141819,4.743043478,4.347391304,1009,595
766,141909,142239,4.716470588,4.424705882,834,554
767,142732,142900,4.915555556,4.644444444,819,282
768,142990,143264,4.640714286,4.37,654,367
769,143349,143923,4.622413793,4.375862069,980,239
770,143988,144162,4.783333333,4.221111111,1020,558
771,144192,144404,4.743636364,4.292727273,962,531
772,144464,144541,4.61,4.3825,862,269
773,144564,145018,4.63826087,4.329130435,844,261
774,145104,145503,4.7555,4.272105263,1086,511
775,145604,145721,4.648333333,4.378333333,933,531
776,145745,145842,4.76,4.356,949,585
777,145988,146058,4.93,4.3475,956,576
778,146166,146241,5.3675,4.44,969,688
779,146263,146361,5.186,4.422,834,593
780,146466,146856,4.6775,4.323,826,362
781,147006,147238,4.448181818,4.045,971,577
782,147388,147840,4.733043478,4.366521739,819,380
783,147923,148320,4.7265,4.2965,839,335
784,148383,148501,4.765,4.34,837,614
785,149444,149697,4.996923077,4.368461538,1126,390
786,149823,149899,4.8525,4.5425,1112,406
787,149943,150076,5.065714286,4.425714286,1041,475
788,150422,150517,5.166,4.594,1111,536
789,150706,150776,5.39,4.6425,1168,530
790,150826,150915,5.174,4.566,1115,493
791,151163,151272,NA,4.568333333,1368,514
792,151341,151456,NA,4.57,1233,395
793,151543,151637,NA,4.506,1257,387
794,151781,151894,NA,4.498333333,1095,508
795,152240,152373,5.018571429,4.521428571,848,594
796,152420,153709,5.010615385,4.485538462,799,651
797,153881,154013,5.182857143,4.575714286,849,586
798,154660,155334,4.749705882,4.336176471,1042,571
799,155700,155797,5.108,4.498,879,595
800,155881,155971,5.17,4.472,1077,577
801,156021,156132,4.818333333,4.255,1112,568
802,156381,156614,4.823333333,4.378333333,1119,545
803,156697,156815,4.93,4.608333333,829,427
804,156904,157111,5.043636364,4.718181818,784,288
805,157177,157350,4.603333333,4.332222222,924,277
806,157398,157568,4.176666667,3.905555556,789,370
807,157657,157912,4.173076923,3.916923077,968,356
808,157956,158116,4.2825,3.96625,929,424
809,158181,158454,4.412142857,4.103571429,810,404
810,158719,158794,4.325,3.9175,872,417
811,158956,159195,4.400833333,3.999166667,777,393
812,159238,159390,4.33625,3.99625,817,412
813,159595,159714,4.336666667,4.013333333,901,374
814,159961,160071,4.618333333,4.108333333,749,378
815,160342,160432,4.512,4.104,992,576
816,161101,161192,4.43,4.092,752,591
817,161221,161312,4.376,4.0925,799,572
818,161362,162048,4.311764706,3.966571429,851,629
819,162075,162150,NA,3.9375,881,614
820,162376,162969,4.196333333,3.889,843,532
821,162999,163350,4.185555556,3.866666667,913,496
822,163475,164252,4.363076923,4.034871795,885,512
823,164395,164730,4.447777778,4.085882353,879,674
824,164840,164990,4.65875,4.28875,836,475
825,165135,165270,4.902857143,4.312857143,834,542
826,165516,165592,4.61,4.1625,970,368
827,165719,165789,4.2975,4.345,913,133
828,165959,166188,4.2775,3.876666667,695,265
829,166272,166487,4.416363636,4.132727273,776,502
830,166536,166605,4.575,4.285,859,440
831,166853,167004,4.565,4.045,1061,602
832,167333,167806,4.615,4.399583333,790,462
833,168471,168586,4.766,4.295,1173,389
834,168770,169249,4.737916667,4.335,1171,676
835,169614,169707,4.7,4.286,624,338
836,169796,169946,4.41875,4.14625,681,392
837,170094,170323,4.380833333,3.999166667,982,522
838,170351,170602,4.526153846,4.133846154,965,524
839,170711,170966,4.567692308,4.266923077,872,450
840,171031,171248,4.662727273,4.304545455,953,475
841,171292,171544,4.693846154,4.404615385,891,446
842,171595,173027,4.908333333,4.582777778,864,506
843,173053,173226,5.177777778,4.738888889,878,474
844,173256,173325,5.165,4.7975,862,494
845,173354,173665,5.371875,4.833125,859,467
846,173694,173826,5.194285714,4.821428571,851,509
847,173848,174385,5.109230769,4.833846154,854,506
848,174493,174583,5.04,4.836,562,370
849,174613,174704,5.136,4.806,565,337
850,174794,175417,4.6796875,4.36875,584,422
851,176147,176322,4.892222222,4.32,794,577
852,176352,177041,4.524,4.166285714,839,581
853,177110,177201,4.836,4.28,802,577
854,177230,177700,4.779166667,4.314583333,769,615
855,177847,177960,4.98,4.363333333,830,486
856,178226,178302,5.23,4.5025,939,456
857,178530,178682,5.1775,4.50625,947,560
858,178930,179342,4.826666667,4.272857143,1023,493
859,179525,179635,4.808333333,4.228333333,934,498
860,179665,179883,4.74,4.242727273,968,486
861,180012,180141,4.725714286,4.164285714,916,521
862,180230,180319,4.64,4.416,1133,329
863,180607,181043,4.555909091,4.222272727,945,517
864,181126,181378,4.514615385,4.207692308,807,346
865,181443,181659,4.554545455,4.159090909,762,475
866,181709,181779,4.805,4.2775,771,523
867,182005,182774,4.662051282,4.238461538,860,492
868,182844,183320,4.429166667,4.02875,833,447
869,183342,183581,4.321666667,3.978333333,872,452
870,183611,183881,4.432857143,3.99,878,435
871,183903,184278,4.665789474,4.123157895,825,402
872,184368,184457,4.744,4.196,785,401
873,184487,184577,4.898,4.19,798,358
874,184626,184696,4.78,4.2425,685,368
875,184803,184900,4.85,4.256,704,368
876,185005,185295,4.716,4.166,684,349
877,185323,185416,4.616,4.054,719,382
878,185921,186100,4.556666667,4.071111111,779,374
879,186148,186451,4.543125,4.18,766,389
880,186501,187718,4.34442623,4.009836066,832,323
881,187745,188136,4.5155,4.048,865,314
882,188179,188354,4.38,4.14,934,297
883,188384,188558,4.5,4.204444444,927,245
884,188579,188875,4.434,4.178,911,259
885,189241,189317,4.595,4.185,934,172
886,189339,189437,4.412,4.226,923,218
887,189522,189616,4.678,4.196,919,134
888,189724,189892,4.336666667,4.157777778,901,236
889,190039,190176,4.327142857,4.101428571,909,248
890,190284,190556,4.397857143,4.077142857,911,241
891,190578,190653,4.48,4.0525,925,205
892,190698,190936,4.264166667,3.963333333,907,267
893,190966,191357,4.2565,3.9375,864,297
894,191821,192874,4.437735849,4.178679245,867,217
895,193058,193194,4.388571429,4.041428571,903,213
896,193341,193472,4.482857143,3.978571429,736,342
897,193502,193571,4.3575,3.9775,728,393
898,193621,194088,4.02625,3.732083333,833,401
899,194117,194292,3.904444444,3.614444444,768,383
900,194335,194749,4.017619048,3.686190476,832,376
901,194779,195254,4.17625,3.724166667,810,365
902,195280,195355,3.955,3.7875,811,314
903,195375,195486,NA,3.833333333,891,330
904,196115,196571,4.446086957,3.99173913,801,337
905,196641,197931,4.276769231,3.965384615,846,321
906,198115,198327,4.660909091,4.140909091,849,242
907,198800,198912,4.966666667,4.07,777,238
908,199020,199152,4.372857143,3.988571429,874,360
909,199202,199452,4.3,3.909230769,937,303
910,199493,199611,4.215,3.868333333,876,350
911,199697,199849,4.42625,3.95625,767,343
912,199998,200247,4.564615385,4.131538462,887,326
913,200277,200367,4.686,4.222,891,315
914,200536,200711,4.915555556,4.31,766,343
915,200795,200865,4.66,4.3125,872,394
916,200975,202609,4.436097561,4.112073171,892,294
917,202877,203050,4.976666667,4.253333333,888,208
918,203352,203608,4.942307692,4.163076923,891,177
919,203677,204029,4.651111111,4.161666667,880,255
920,204171,204260,4.508,4.08,830,286
921,204578,204668,4.626,4.1,918,249
922,204876,204948,4.2725,4.005,908,285
923,205137,205483,4.794444444,4.157777778,926,242
924,205776,205846,4.486666667,4.005,1260,504
925,205937,206922,4.355,4.0502,868,358
926,206991,207084,4.782,4.28,879,338
927,207214,207287,4.9725,4.385,889,313
928,207354,207527,4.88,4.411111111,859,483
929,207548,207645,4.902,4.444,844,502
930,207710,207983,4.860714286,4.381428571,784,553
931,208213,208325,4.9,4.28,907,429
932,208474,208665,4.783,4.371,946,456
933,208769,208887,4.72,4.415,735,176
934,208987,209259,4.616428571,4.354285714,861,608
935,209289,209563,4.792857143,4.401428571,882,583
936,209627,210338,4.576666667,4.274722222,889,407
937,210368,210499,4.6,4.221428571,862,395
938,210587,210780,4.892,4.418,1349,441
939,211148,211585,4.697272727,4.3,773,584
940,211627,212265,4.51375,4.115625,916,551
941,212527,212725,4.455,4.085,806,410
942,212851,213005,4.5375,4.00625,890,361
943,213173,213344,4.447777778,4.144444444,935,371
944,213664,213780,4.843333333,4.191666667,1171,469
945,214446,214560,4.593333333,4.045,1183,453
946,214665,214757,4.412,4.126,1212,333
947,214884,215003,4.373333333,4.141666667,1190,322
948,215246,215362,4.141666667,3.93,997,580
949,215750,215822,4.4125,4.275,707,447
950,215952,216273,4.420588235,4.216470588,825,462
951,216769,216842,4.305,4.085,1072,750
952,216889,217761,4.484318182,4.244318182,997,797
953,217924,218012,4.718,4.444,738,181
954,218102,218273,4.753333333,4.451111111,700,248
955,218343,218757,4.615238095,4.452857143,657,581
956,218802,218939,4.612857143,4.337142857,708,523
957,219082,219500,4.664285714,4.487142857,708,293
958,219766,219839,4.99,4.7775,466,258
959,220025,220619,4.432,4.375333333,634,218
960,221405,221496,4.798,4.372,1234,596
961,221600,221775,4.876666667,4.302222222,1169,682
962,221805,222075,4.795714286,4.315,1134,700
963,222342,222615,4.950714286,4.495714286,1165,687
964,222741,222895,4.94875,4.49625,1125,782
965,222925,223035,4.826666667,4.425,1144,702
966,223065,223236,4.894444444,4.4025,1154,684
967,223261,223417,5.00125,4.455,1153,714
968,223445,223637,5.064444444,4.49,1169,718
969,223920,224116,5.158,4.518,1205,673
970,224298,224418,5.161666667,4.554,1154,720
971,224682,224753,5.0475,4.4575,1191,855
972,224782,224894,4.951666667,4.446666667,1172,847
973,225099,225175,4.8975,4.4825,947,796
974,225843,225991,4.43375,4.16125,720,498
975,226020,226129,4.116666667,3.906666667,756,527
976,226179,226335,4.06625,3.78125,814,551
977,226358,226856,4.0052,3.7412,851,465
978,226898,227171,4.060714286,3.774285714,789,520
979,227222,227495,4.095,3.838571429,728,469
980,227546,228549,4.070196078,3.789215686,797,525
981,228577,228668,3.988,3.732,861,525
982,228696,229211,4.067692308,3.738076923,839,595
983,229240,229569,4.08,3.751764706,792,533
984,229615,230014,4.089473684,3.7125,886,510
985,230317,230750,4.163636364,3.807272727,843,497
986,230780,230851,4.05,3.77,889,449
987,231062,231253,4.17,3.676,901,505
988,231283,231353,4.04,3.705,894,452
989,231395,231712,3.753125,3.67125,835,472
990,231734,232205,3.929166667,3.698333333,839,511
991,232378,232450,4.0575,3.8125,617,422
992,232518,232713,4.157,3.9,699,373
993,232821,233069,4.009230769,3.772307692,691,571
994,233179,233290,4.181666667,3.776666667,645,370
995,233376,233670,4.05,3.732,906,415
996,233878,233986,3.965,3.733333333,698,296
997,234054,234408,4.147222222,3.871111111,899,268
998,234560,234711,4.46,4.125,911,376
999,234756,235031,4.467142857,4.195,872,331
1000,235116,235349,4.330833333,3.936666667,1019,583
1001,235433,235547,4.296,3.971666667,997,591
1002,235952,236288,4.037058824,3.758235294,662,565
1003,236317,236448,3.801428571,3.615714286,720,451
1004,236618,236769,3.89,3.48375,1081,488
1005,236899,237190,3.981333333,3.548,1159,510
